LineID,VariableMap
87,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
88,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
89,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
90,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
91,session opened for user <#75> by <#76>
92,session closed for user <#75>
93,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
94,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
95,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
96,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
97,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
98,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
99,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
100,check pass; user unknown
101,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
102,check pass; user unknown
103,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
104,check pass; user unknown
105,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
106,check pass; user unknown
107,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
108,check pass; user unknown
109,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
110,check pass; user unknown
111,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
112,check pass; user unknown
113,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
114,check pass; user unknown
115,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
116,check pass; user unknown
117,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
118,check pass; user unknown
119,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
120,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
121,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
122,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
123,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
124,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
125,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
126,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
127,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
128,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
129,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
130,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
131,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
132,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
133,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
134,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
135,User unknown timed out after <#51> seconds at <#52> <#53> <#54> <#55> <#56>
136,session opened for user <#75> by <#76>
137,session closed for user <#75>
138,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
139,session opened for user <#75> by <#76>
140,session closed for user <#75>
141,session opened for user <#75> by <#76>
142,session closed for user <#75>
143,cupsd shutdown succeeded
144,cupsd startup succeeded
145,restart.
146,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
147,session opened for user <#75> by <#76>
148,session closed for user <#75>
149,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
150,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
151,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
152,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
153,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
154,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
155,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
156,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
157,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
158,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
159,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
160,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
161,session opened for user <#75> by <#76>
162,session closed for user <#75>
163,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
164,session opened for user <#75> by <#76>
165,session closed for user <#75>
166,Received SNMP packet(s) from <#47>
167,check pass; user unknown
168,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
169,check pass; user unknown
170,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
171,check pass; user unknown
172,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
173,check pass; user unknown
174,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
175,check pass; user unknown
176,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
177,check pass; user unknown
178,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
179,check pass; user unknown
180,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
181,check pass; user unknown
182,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
183,check pass; user unknown
184,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
185,check pass; user unknown
186,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
187,session opened for user <#75> by <#76>
188,session closed for user <#75>
189,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
190,session opened for user <#75> by <#76>
191,session closed for user <#75>
192,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
193,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
194,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
195,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
196,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
197,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
198,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
199,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
200,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
201,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
202,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
203,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
204,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
205,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
206,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
207,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
208,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
209,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
210,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
211,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
212,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
213,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
214,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
215,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
216,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
217,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
218,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
219,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
220,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
221,session opened for user <#75> by <#76>
222,session closed for user <#75>
223,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
224,session opened for user <#75> by <#76>
225,session closed for user <#75>
226,check pass; user unknown
227,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
228,check pass; user unknown
229,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
230,check pass; user unknown
231,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
232,check pass; user unknown
233,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
234,check pass; user unknown
235,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
236,check pass; user unknown
237,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
238,check pass; user unknown
239,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
240,check pass; user unknown
241,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
242,check pass; user unknown
243,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
244,check pass; user unknown
245,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
246,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
247,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
248,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
249,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
250,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
251,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
252,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
253,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
254,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
255,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
256,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
257,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
258,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
259,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
260,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
261,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
262,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
263,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
264,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
265,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
266,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
267,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
268,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
269,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
270,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
271,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
272,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
273,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
274,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
275,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
276,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
277,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
278,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
279,check pass; user unknown
280,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
281,session opened for user <#75> by <#76>
282,session closed for user <#75>
283,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
284,session opened for user <#75> by <#76>
285,session closed for user <#75>
286,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
287,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
288,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
289,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
290,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
291,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
292,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
293,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
294,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
295,session opened for user <#75> by <#76>
296,session closed for user <#75>
297,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
298,session opened for user <#75> by <#76>
299,session closed for user <#75>
300,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
301,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
302,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
303,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
304,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
305,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
306,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
307,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
308,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
309,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
310,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
311,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
312,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
313,session opened for user <#75> by <#76>
314,session closed for user <#75>
315,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
316,session opened for user <#75> by <#76>
317,session closed for user <#75>
318,check pass; user unknown
319,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
320,check pass; user unknown
321,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
322,check pass; user unknown
323,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
324,check pass; user unknown
325,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
326,check pass; user unknown
327,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
328,check pass; user unknown
329,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
330,check pass; user unknown
331,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
332,check pass; user unknown
333,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
334,check pass; user unknown
335,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
336,check pass; user unknown
337,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
338,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
339,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
340,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
341,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
342,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
343,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
344,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
345,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
346,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
347,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
348,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
349,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
350,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
351,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
352,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
353,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
354,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
355,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
356,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
357,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
358,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
359,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
360,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
361,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
362,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
363,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
364,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
365,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
366,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
367,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
368,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
369,session opened for user <#75> by <#76>
370,session closed for user <#75>
371,cupsd shutdown succeeded
372,cupsd startup succeeded
373,restart.
374,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
375,session opened for user <#75> by <#76>
376,session closed for user <#75>
377,session opened for user <#75> by <#76>
378,session closed for user <#75>
379,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
380,session opened for user <#75> by <#76>
381,session closed for user <#75>
382,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
383,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
384,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
385,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
386,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
387,session opened for user <#75> by <#76>
388,session closed for user <#75>
389,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
390,session opened for user <#75> by <#76>
391,session closed for user <#75>
392,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
393,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
394,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
395,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
396,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
397,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
398,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
399,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
400,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
401,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
402,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
403,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
404,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
405,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
406,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
407,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
408,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
409,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
410,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
411,check pass; user unknown
412,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
413,check pass; user unknown
414,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
415,check pass; user unknown
416,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
417,check pass; user unknown
418,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
419,check pass; user unknown
420,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
421,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
422,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
423,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
424,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
425,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
426,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
427,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
428,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
429,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
430,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
431,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
432,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
433,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
434,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
435,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
436,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
437,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
438,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
439,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
440,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
441,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
442,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
443,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
444,session opened for user <#75> by <#76>
445,session closed for user <#75>
446,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
447,session opened for user <#75> by <#76>
448,session closed for user <#75>
449,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
450,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
451,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
452,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
453,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
454,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
455,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
456,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
457,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
458,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
459,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
460,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
461,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
462,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
463,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
464,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
465,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
466,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
467,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
468,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
469,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
470,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
471,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
472,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
473,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
474,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
475,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
476,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
477,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
478,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
479,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
480,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
481,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
482,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
483,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
484,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
485,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
486,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
487,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
488,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
489,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
490,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
491,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
492,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
493,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
494,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
495,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
496,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
497,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
498,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
499,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
500,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
501,connection from <#62> <#63> at <#52> <#53> <#54> <#55> <#56>
502,session opened for user <#75> by <#76>
503,session closed for user <#75>
504,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
505,session opened for user <#75> by <#76>
506,session closed for user <#75>
507,check pass; user unknown
508,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
509,check pass; user unknown
510,authentication failure; logname= <#1> <#2> <#3> <#4> <#5>
511,check pass; user unknown
